Sequence,Engagement,count,proportion
1,Active,41,0.2887323943661972
1,Average,68,0.4788732394366197
1,Disengaged,33,0.2323943661971831
2,Active,47,0.33098591549295775
2,Average,62,0.43661971830985913
2,Disengaged,33,0.2323943661971831
3,Active,42,0.29577464788732394
3,Average,67,0.47183098591549294
3,Disengaged,33,0.2323943661971831
4,Active,41,0.2887323943661972
4,Average,74,0.5211267605633803
4,Disengaged,27,0.19014084507042253
5,Active,43,0.3028169014084507
5,Average,70,0.49295774647887325
5,Disengaged,29,0.20422535211267606
6,Active,41,0.2887323943661972
6,Average,68,0.4788732394366197
6,Disengaged,33,0.2323943661971831
7,Active,44,0.30985915492957744
7,Average,66,0.4647887323943662
7,Disengaged,32,0.22535211267605634
8,Active,41,0.2887323943661972
8,Average,70,0.49295774647887325
8,Disengaged,31,0.21830985915492956
