AchievingGroup,Action,count,proportion
High achiever,Group_work,20091,0.4067004048582996
High achiever,Course_view,15851,0.32087044534412956
High achiever,Practicals,5459,0.11050607287449393
High achiever,Instructions,4190,0.08481781376518219
High achiever,Assignment,3809,0.07710526315789473
Low achiever,Group_work,12657,0.389398227910411
Low achiever,Course_view,9442,0.29048732463696775
Low achiever,Practicals,4561,0.14032119123800146
Low achiever,Assignment,3560,0.10952498154073345
Low achiever,Instructions,2284,0.07026827467388629
